lemma,poscode,surface,
Google,3,Google,Google Inc.
Apple,3,Apple,Apple Inc.
Microsoft,3,Microsoft,Microsoft Corp.
Mozilla,3,Mozilla,Mozilla Corp.
Samsung,3,Samsung
Hitachi,3,Hitachi
BBC,3,BBC
Al Jazeera,3,Al Jazeera
Department of Energy,3,Department of Energy
Oak Ridge National Laboratory,3,Oak Ridge National Laboratory,ORNL
Cray Inc.,3,Cray Inc.
Los Alamos National Laboratory,3,Los Alamos National Laboratory,LANL
Lawrence Livermore National Laboratory,3,Lawrence Livermore National Laboratory,LLNL
American Academy of Neurology,3,American Academy of Neurology
University of Rochester,3,University of Rochester
Longhorns,3,Longhorns
Decatur Daily,3,Decatur Daily
Burger King,3,Burger King,Burger King Holdings Inc.
Paramount,3,Paramount
USA Today,3,USA Today
Writers Guild,3,Writers Guild,WGA
Golden Globes,3,Golden Globes
British Academy,3,British Academy,BAFTA/LA
Beverly Hills Hotel,3,Beverly Hills Hotel
