Technology - latimes.com,"Facebook Inc.'s latest capitulation to offended users offered another reminder of the social network's power for self-criticism.
The Palo Alto company rescinded a controversial change to its terms of use late Tuesday after thousands of members protested that Facebook was claiming ownership of all photos and other material posted to the site.
Chief Executive Mark Zuckerberg said that wasn't the intention. But Facebook reverted to a previous version of its legal user guidelines that didn't include the disputed clause. Zuckerberg said the company would work to revise the policies, which Facebook calls its 'governing document,' with feedback from its 175 million users.
'Given its importance, we need to make sure the terms reflect the principles and values of the people using the service,' he wrote on Facebook's corporate blog. 'Since this will be the governing document that we'll all live by, Facebook users will have a lot of input in crafting these terms.'
The company is no stranger to controversy. It has faced strong user backlash to features including Beacon, its advertising service, and News Feed, its system for tracking and broadcasting users' moves to their online friends.
In this case, users weren't content to hand Facebook the rights to their personal data. They also were unsatisfied by a Zuckerberg blog post Monday that many thought amounted to 'just trust us.' Users carried out their protests on the website, using the tools Facebook provides for posting blog entries and rallying around causes.
Zuckerberg has compared the website to a nation, saying that its user base would make Facebook the world's sixth most populous country.
This week's dissent was akin to that of a political protest. But Facebook took the state analogy to a new level, creating an online group called the Facebook Bill of Rights and Responsibilities that it's using to collect suggestions from users. When they logged in late Tuesday and Wednesday, Facebook members were alerted to the changes and directed to the group page.
'Facebook doesn't claim rights to any of your photos or other content,' the page says. 'We need a license in order to help you share information with your friends, but we don't claim to own your information.'
Now Facebook is going back to the drawing board to craft a less divisive set of terms of service. The company will put together a more approachable document with less formal language, Zuckerberg wrote on the blog.
'They need to have two-way conversations with their users about their terms of service and not just talk to the lawyers,' said Steven Swimmer, a social media consultant in Los Angeles. 'I thought their response was excellent.'
It remains to be seen how many of the suggestions actually factor in to the new terms of service.
'There is a kind of deceptiveness to the way this thing happened and the way it was pulled back,' said Harry Lewis, a computer science professor at Harvard University. 'People will have legitimate suspicions until they see the result.'
The Consumerist, a blog run by watchdog group Consumers Union, uncovered the initial change to the terms Sunday, thanks to a tip e-mailed by a reader. Chris Walters, the writer of that blog post, applauded the decision to listen to user comments.
Mina Kim, an actress in Los Angeles, said the flap was a wake-up call about the risks of posting personal data to the Web.
'It makes you think about how these terms can be changed at any time,' she said. 'Maybe right now we own our photos, but what's going to stop Facebook from changing that down the line?'"
Technology - macworld.com,"In what the company has said will be its last Macworld Expo keynote ever, Apple on Tuesday announced updates to its iLife and iWork suites while unveiling a 17-inch MacBook Pro that now mirrors the unibody design of the rest of Apple's laptop line.
Related Macworld Expo Articles
Expo: Microsoft to enhance Entourage Exchange, SharePoint on the Mac 
Summary: Software, MacBook Pro updates star in final Apple keynote 
Expo: 17-inch MacBook Pro gets unibody makeover 
Expo: Apple adds productivity features to iWork 
Expo: Apple introduces iLife '09 
Tuesday's keynote was delivered by Phil Schiller, Apple's senior vice president of worldwide product marketing, instead of Apple CEO Steve Jobs. Apple announced last month that Jobs would not deliver this year's keynote and that the company would not attend future Macworld Expos. Whether it was Jobs' absence from the keynote stage or Apple's ambivalence about the annual Mac trade event, this year's keynote lacked a major product introduction like the 2008 unveiling of the ultra-thin MacBook Air laptop or the iPhone's memorable debut in 2007.
Instead, Schiller focused largely on updating existing products. His 98-minute keynote led off with iLife '09, the latest version of Apple's suite of digital lifestyle applications. 
Highlighting the changes to the iPhoto photo management and editing application are Faces and Places tools for organizing photos around people and locations, respectively. The Faces feature uses facial-recognition technology to identify the faces of people in the photos you take. iPhoto '09 also adds integration with the Facebook and Flickr social networking sites.
iLife '09 also includes updates to iMovie, which adds an expanded timeline view for advanced users as well as automatic video stabilization, and GarageBand, which focuses on video tutorials
While iLife '09 won't ship until the end of the month, the newly updated iWork suite of productivity applications is available now. All three components'the Keynote presentation application, the Pages writing and page-layout offering, and the Numbers spreadsheet tool'get new features. 
Apple also launched a new service, iWork.com, that lets users share and collaborate with documents online. The service is integrated into iWork '09 as a button in the toolbar of each application. iWork.com launched Tuesday a public beta.
Both iLife and iWork sell for $79, with Family Packs of each suite available for $99. Apple is also bundling the two suites with Leopard and selling them as part of a $169 Mac Box Set. The bundle will be available in late January when iLife ships.
In hardware news, Schiller unveiled a new 17-inch MacBook Pro model that replicates the unibody enclosure introduced to the rest of the laptop line in October. The unibody enclosure features a number of environmental improvements that Schiller touted during his keynote.
The 17-inch MacBook Pro features a 2.66GHz Core 2 Duo processor, 4GB of memory, 320GB of storage, and Nvidia GeForce 9400M and GeForce 9600MT graphics. The system costs $2,799 and will ship by the end of January.
The new MacBook Pro introduces a new kind of battery: one that isn't removable. Instead of the standard cylindrical AA cells "
Technology - marketwatch.com,"Acacia Research Corporation announced today that its subsidiary, Telematics Corporation, has resolved a dispute that was pending in the United States District Court for the Northern District of Georgia with Blue Sky Network, LLC. The Telematics technology generally relates to systems and methods for displaying mobile vehicle information on a map. This technology can be used in navigation and fleet management systems that combine wireless communication with GPS tracking and map displays."
